Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
CIPLA,840.9,892.3,836.65,842.0,11189432.0,886.95
SUNPHARMA,613.0,642.0,609.5,614.25,16755446.0,636.0
HINDUNILVR,2424.0,2483.0,2424.0,2409.9,2604858.0,2471.35
TECHM,1028.95,1056.8,1016.55,1029.0,6029994.0,1051.0
TATACONSUM,670.0,685.0,665.0,670.7,2566543.0,684.5
WIPRO,442.9,451.35,440.0,442.1,11699385.0,450.9
DRREDDY,4692.9,4794.0,4691.25,4689.05,1362147.0,4765.0
TITAN,1569.9,1618.0,1561.3,1571.3,3569146.0,1594.6
JSWSTEEL,618.0,630.85,598.0,614.1,51062079.0,621.5
TATAMOTORS,313.2,325.0,312.5,313.95,75462572.0,317.55
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
CIPLA,840.9,892.3,836.65,842.0,11189432.0,886.95
SUNPHARMA,613.0,642.0,609.5,614.25,16755446.0,636.0
HINDUNILVR,2424.0,2483.0,2424.0,2409.9,2604858.0,2471.35
TECHM,1028.95,1056.8,1016.55,1029.0,6029994.0,1051.0
TATACONSUM,670.0,685.0,665.0,670.7,2566543.0,684.5
WIPRO,442.9,451.35,440.0,442.1,11699385.0,450.9
DRREDDY,4692.9,4794.0,4691.25,4689.05,1362147.0,4765.0
TITAN,1569.9,1618.0,1561.3,1571.3,3569146.0,1594.6
JSWSTEEL,618.0,630.85,598.0,614.1,51062079.0,621.5
TATAMOTORS,313.2,325.0,312.5,313.95,75462572.0,317.55
